document_id,period,title,source_url,embedded_chunk_count
4789,경종실록,경종실록: 기제와 묘제의 존폐에 대한 영의정 김창집의 의견,https://sillok.history.go.kr/id/kta_10007008_003,1
4790,경종실록,경종실록: 홍문관에서 진강에 적합한 편목을 유신으로 하여금 상의하여 초출하게 할 것을 청하다,https://sillok.history.go.kr/id/kta_10007008_004,1
5459,경종실록,경종실록: 다른 사람으로 바꾸지 말고 판부사 이이명으로 하여금 지문을 찬술하게 하다,https://sillok.history.go.kr/id/kta_10007008_005,1
4796,경종실록,경종실록: 홍치중·송성명·이광좌 등에게 관직을 제수하다,https://sillok.history.go.kr/id/kta_10007011_001,1
4809,고종실록,고종실록: 철종 대왕이 승하하다,https://sillok.history.go.kr/id/kza_10012008_001,1
4801,고종실록,고종실록: 대왕대비가 국상 중에 정사를 대리할 사람을 정하였고 철종의 뒤를 흥선군의 두 번째 아들로 정하다,https://sillok.history.go.kr/id/kza_10012008_002,1
5485,고종실록,고종실록: 대왕대비가 봉영 대신과 봉영 승지를 정하다,https://sillok.history.go.kr/id/kza_10012008_003,1
5489,고종실록,고종실록: 대신들이 왕통을 정한 것을 축하드리고 수렴청정의 안을 아뢰다,https://sillok.history.go.kr/id/kza_10012008_005,1
5504,고종실록,고종실록: 종척 집사를 임명하다,https://sillok.history.go.kr/id/kza_10012008_006,1
5502,고종실록,고종실록: 김좌근을 총호사에 임명하다,https://sillok.history.go.kr/id/kza_10012008_007,1
5493,고종실록,"고종실록: 빈전 도감과 국장 도감, 산릉 도감의 관리를 임명하다",https://sillok.history.go.kr/id/kza_10012008_008,1
5497,고종실록,고종실록: 대왕대비가 빈전을 환경전으로 정할 것을 명하다,https://sillok.history.go.kr/id/kza_10012008_009,1
4803,고종실록,"고종실록: 예조에서 등극하는 절차와 날짜, 그리고 왕비 등에게 올릴 존호 절차를 아뢰다",https://sillok.history.go.kr/id/kza_10012008_010,1
5501,고종실록,"고종실록: 수릉관과 시릉관, 대전관을 임명하다",https://sillok.history.go.kr/id/kza_10012008_011,1
5495,고종실록,고종실록: 대왕대비가 존호 도감은 시일을 더 기다리라고 명하다,https://sillok.history.go.kr/id/kza_10012008_012,1
5490,고종실록,고종실록: 대왕대비가 수렴과 등극 후의 진하는 권정례로 하라고 명하다,https://sillok.history.go.kr/id/kza_10012008_014,1
5500,고종실록,고종실록: 혼전을 선정전에 차릴 것이라고 하다,https://sillok.history.go.kr/id/kza_10012009_001,1
5486,고종실록,고종실록: 흥선 대원군과 여흥 부대부인의 임명장이 내리다,https://sillok.history.go.kr/id/kza_10012009_002,1
5492,고종실록,고종실록: 대왕대비가 염하는 의식 등에 대신들이 참가하라고 명하다,https://sillok.history.go.kr/id/kza_10012009_003,1
5509,고종실록,고종실록: 미시에 염습을 거행하다,https://sillok.history.go.kr/id/kza_10012009_004,1
5511,고종실록,고종실록: 유시에 소렴을 하다,https://sillok.history.go.kr/id/kza_10012009_005,1
5484,고종실록,고종실록: 국장 도감의 여러 관리들을 임명하다,https://sillok.history.go.kr/id/kza_10012009_006,1
5508,고종실록,고종실록: 영상을 환경전에 옮기다,https://sillok.history.go.kr/id/kza_10012010_002,1
4798,고종실록,고종실록: 등극한 후 왕비의 칭호를 올리는 의식은 날을 미루어 하겠다고 예조에서 아뢰다,https://sillok.history.go.kr/id/kza_10012010_003,1
5510,고종실록,고종실록: 신시에 대렴을 하다,https://sillok.history.go.kr/id/kza_10012011_001,1
5512,고종실록,고종실록: 빈소를 만들다,https://sillok.history.go.kr/id/kza_10012011_002,1
5494,고종실록,고종실록: 비변사에서 세 도감에 쓸 비용의 조달 방법을 아뢰다,https://sillok.history.go.kr/id/kza_10012011_003,1
5503,고종실록,고종실록: 익성군의 관례를 행하다,https://sillok.history.go.kr/id/kza_10012012_001,1
4804,고종실록,고종실록: 등극하는 의식을 거행하고 왕비를 왕대비로 올리는 의식도 거행하다,https://sillok.history.go.kr/id/kza_10012013_001,1
5505,고종실록,고종실록: 《고종실록》 총서,https://sillok.history.go.kr/id/kza_10012013_002,1
